flight@query	搜索武汉到南京的机票	o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
music@play	播放歌曲再见青春	o o o o b-song i-song i-song i-song
translation@translation	出租车的英文怎么说	b-content i-content i-content o b-target i-target o o o
lottery@number_query	查看大乐透玩法的开奖	o o b-name i-name i-name o o o o o
cookbook@query	鸡怎么烧	b-ingredient o o o
epg@query	爱笑会议室什么时候播放	b-name i-name i-name i-name i-name o o o o o o
train@query	到无锡到北京的火车有几趟了	o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o o o o
news@play	听新闻，姨。	o o o o o o
health@query	得了关节炎怎么办？	o o b-keyword i-keyword i-keyword o o o o
video@query	新扎师妹	b-name i-name i-name i-name
music@play	给我来首好听的音乐	o o o o b-category i-category o o o
cookbook@query	小军儿炖土豆该怎么做？	o o o b-dishname i-dishname i-dishname o o o o o
map@route	从我这里到科大讯飞走高速路线	o o o o o b-endloc_poi i-endloc_poi i-endloc_poi i-endloc_poi o o o o o
video@query	现在热门的电视剧是什么	o o b-popularity i-popularity o b-category i-category i-category o o o
translation@translation	我记住了用英文怎么讲	b-content i-content i-content i-content o b-target i-target o o o
radio@launch	请帮我调频106.1长沙音乐广播电台	o o o o o b-code i-code i-code i-code i-code b-name i-name i-name i-name i-name i-name i-name i-name
cookbook@query	鱼香茄子怎么做	b-dishname i-dishname i-dishname i-dishname o o o
riddle@query	来个谜语吧！	o o b-category i-category o o
map@position	六安市飞云卫生院在哪里	b-location_city i-location_city i-location_city b-location_poi i-location_poi i-location_poi i-location_poi i-location_poi o o o
poetry@query	来一首，灵岩。	o o o o b-name i-name o
translation@translation	汽车英语怎么讲	b-content i-content b-target i-target o o o
map@route	上海到苏州	b-startloc_city i-startloc_city o b-endloc_city i-endloc_city
website@open	打开三星首页	o o b-name i-name o o
video@query	赛罗奥特曼	b-name i-name i-name i-name i-name
cookbook@query	孜然排骨怎么做？	b-dishname i-dishname i-dishname i-dishname o o o o
telephone@query	张培的电话号码是多少	b-name i-name o o o o o o o o
translation@translation	翻译李淼	o o b-content i-content
translation@translation	今天是个好日子的英文怎么讲	b-content i-content i-content i-content i-content i-content i-content o b-target i-target o o o
cookbook@query	怎样做肉类？	o o o b-ingredient i-ingredient o
cookbook@query	汉堡。	b-dishname i-dishname o
cookbook@query	猪大肠怎么炒？	b-ingredient i-ingredient i-ingredient o o o o
epg@query	现在电视台在播什么	b-datetime_time i-datetime_time o o o o o o o
cookbook@query	甲鱼，邓鸡，如何制作。	o o o o b-ingredient o o o o o o
news@play	关于钓鱼岛的新闻进展	o o b-keyword i-keyword i-keyword o o o o o
poetry@query	那给我背静夜思。	o o o o b-name i-name i-name o
riddle@query	来一个灯谜，你。	o o o b-category i-category o o o
stock@closeprice_query	腾讯股票昨日收盘价	b-name i-name o o b-yesterday i-yesterday o o o
cookbook@query	蒸鸡蛋糕	b-dishname i-dishname i-dishname i-dishname
music@play	来一首有点舍不得	o o o b-song i-song i-song i-song i-song
cookbook@query	怎么做冰激凌？	o o o b-dishname i-dishname i-dishname o
message@send	发短信给叶少云晚上要不要出去玩	o o o o b-name i-name i-name b-content i-content i-content i-content i-content i-content i-content i-content
video@query	搜索最近的，科幻电影。	o o b-timedescr i-timedescr o o b-tag i-tag b-category i-category o
video@query	最近有什么好看的电视连续剧武打的。	b-timedescr i-timedescr o o o b-scoredescr i-scoredescr o b-category i-category i-category i-category i-category b-tag i-tag o o
map@route	到太湖怎么走	o b-endloc_area i-endloc_area o o o
stock@query	我想看一下科大讯飞的股票	o o o o o b-name i-name i-name i-name o o o
news@play	加，听新闻。	o o o o o o
music@play	我叫小沈阳这首歌	b-song i-song i-song i-song i-song o o o
app@query	搜索手机办公软件	o o o o b-name i-name i-name i-name
cookbook@query	怎样做糖醋排骨。	o o o b-dishname i-dishname i-dishname i-dishname o
music@play	我想听期待这首歌	o o o b-song i-song o o o
video@query	我是说我要看一起又看流星雨	o o o o o o b-name i-name i-name i-name i-name i-name i-name
bus@query	太原到广州的车。	b-src i-src o b-dest i-dest o o o
email@launch	开启邮件	o o o o
cookbook@query	烤肉串。	b-dishname i-dishname i-dishname o
tvchannel@play	高清江苏	b-resolution i-resolution b-name i-name
flight@query	帮我查一下明天广州到长沙的航班	o o o o o b-startdate_date i-startdate_date b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
lottery@number_query	看一看大乐透的信息	o o o b-name i-name i-name o o o
cookbook@query	给我讲个笑话吧，鱼香肉丝怎么做？	o o o o o o o o b-dishname i-dishname i-dishname i-dishname o o o o
app@launch	打开熊猫看书	o o b-name i-name i-name i-name
map@position	科大讯飞在哪里呀	b-location_poi i-location_poi i-location_poi i-location_poi o o o o
train@query	安阳到郑州的火车	b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
stock@query	保利地产的股票	b-name i-name i-name i-name o o o
lottery@number_query	七星彩	b-name i-name i-name
cinemas@query	最近有什么好电影吗？	o o o o o o o o o o
translation@translation	我想出去旅游英文怎么说	b-content i-content i-content i-content i-content i-content b-target i-target o o o
epg@query	淮南电视台综合频道节目。	b-tvchannel i-tvchannel i-tvchannel i-tvchannel i-tvchannel i-tvchannel i-tvchannel i-tvchannel i-tvchannel o o o
website@open	上百度网站	o b-name i-name o o
telephone@dial	呼叫浦蒲	o o b-name i-name
news@play	我要听最近的新闻。	o o o b-datetime_date i-datetime_date o o o o
music@search	陈奕迅有什么歌啊	b-artist i-artist i-artist o o o o o
website@open	你帮我打开网站	o o o o o o o
music@play	我想听老婆这首歌	o o o b-song i-song o o o
telephone@dial	打电话给一十一	o o o o b-name i-name i-name
cookbook@query	红烧排骨怎么做？啊？	b-dishname i-dishname i-dishname i-dishname o o o o o o
app@launch	opera浏览器	b-name i-name i-name i-name i-name i-name i-name i-name
video@query	播放特种兵之利刃出鞘	o o b-name i-name i-name i-name i-name i-name i-name i-name
poetry@query	月咏牡丹的下一句，是什么？	b-keyword i-keyword i-keyword i-keyword o b-queryfield i-queryfield i-queryfield o o o o o
cookbook@query	怎么烧西红柿炒蛋	o o o b-dishname i-dishname i-dishname i-dishname i-dishname
poetry@query	长风吹月渡海来下一句是什么？	b-keyword i-keyword i-keyword i-keyword i-keyword i-keyword i-keyword b-queryfield i-queryfield i-queryfield o o o o
video@query	熊出没啊	b-name i-name i-name o
video@query	知青	b-name i-name
poetry@query	背一下游子。	o o o b-name i-name o
train@query	深圳至合肥的火车票	b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o
video@query	电视剧粘豆包	b-category i-category i-category b-name i-name i-name
bus@query	从北海到东莞的汽车。	o b-src i-src o b-dest i-dest o o o o
cookbook@query	清蒸鱼怎么做？吴？	b-dishname i-dishname i-dishname o o o o o o
translation@translation	你还没有结婚用英语怎么讲	b-content i-content i-content i-content i-content i-content o b-target i-target o o o
poetry@query	李白的将进酒。	b-author i-author o b-name i-name i-name o
train@query	查一下南京到上海的火车注意谢谢	o o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o o o o
tvchannel@play	山东台高清	b-name i-name i-name b-resolution i-resolution
translation@translation	你今天去了哪里用英文怎么讲	b-content i-content i-content i-content i-content i-content i-content o b-target i-target o o o
poetry@query	所以说李白的诗。	o o o b-author i-author o o o
map@route	南山医院到北大医院路线	b-startloc_poi i-startloc_poi i-startloc_poi i-startloc_poi o b-endloc_poi i-endloc_poi i-endloc_poi i-endloc_poi o o
news@play	今天的新闻，欲	b-datetime_date i-datetime_date o o o o o
map@route	到合肥市逍遥津公园怎么走	o b-endloc_city i-endloc_city o b-endloc_poi i-endloc_poi i-endloc_poi i-endloc_poi i-endloc_poi o o o
message@send	给张克达发短信	o b-name i-name i-name o o o
app@query	搜索机锋市场	o o b-name i-name i-name i-name
train@query	查询宜春到南昌的火车列车时刻表	o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o o o o o
map@route	去科大讯飞怎么走	o b-endloc_poi i-endloc_poi i-endloc_poi i-endloc_poi o o o
cookbook@query	怎么做馒头	o o o b-dishname i-dishname
cookbook@query	烤牛排怎么做？	b-dishname i-dishname i-dishname o o o o
email@send	发邮件给莹莹说我好困我想睡觉	o o o o b-name i-name o b-content i-content i-content i-content i-content i-content i-content
stock@riserate_query	陈娴tcl股票是涨还是跌了	o o b-name i-name i-name o o o o o o o o
message@send	给李占峰发短信你现在在做什么	o b-name i-name i-name o o o b-content i-content i-content i-content i-content i-content i-content
video@query	武林风视频	b-name i-name i-name o o
stock@closeprice_query	美菱电器的昨日收盘价是多少	b-name i-name i-name i-name o b-yesterday i-yesterday o o o o o o
music@play	胡歌忘记时间	b-artist i-artist b-song i-song i-song i-song
flight@query	查下上海到太原的机票	o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
video@query	大西南剿匪记	b-name i-name i-name i-name i-name i-name
flight@query	7月30号去深圳的航班。	b-startdate_date i-startdate_date i-startdate_date i-startdate_date i-startdate_date o b-endloc_city i-endloc_city o o o o
stock@riserate_query	中国联通的股票涨还是跌	b-name i-name i-name i-name o o o o o o o
cookbook@query	如何做煎饼。	o o o b-dishname i-dishname o
cookbook@query	啥婆豆腐的制作方法	o o b-ingredient i-ingredient o o o o o
poetry@query	你给我念一首李白的诗。	o o o o o o b-author i-author o o o
riddle@query	打一个灯谜啊，你。	o o o b-category i-category o o o o
cookbook@query	回锅肉做法。	b-dishname i-dishname i-dishname o o o
flight@query	查询上海到北京的航班。	o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o
tvchannel@play	我要看下中央六套	o o o o b-name i-name i-name i-name
stock@query	苏泊尔股价大跌	b-name i-name i-name o o o o
telephone@dial	打电话给胖头	o o o o b-name i-name
website@open	易车网看看	b-name i-name i-name o o
poetry@query	来一首琵琶行。	o o o b-name i-name i-name o
riddle@query	出一个谜语给我猜猜吧！	o o o b-category i-category o o o o o o
message@send	给夏磊发短信	o b-name i-name o o o
music@play	播放老婆最大。	o o b-song i-song i-song i-song o
map@route	薛山西路怎么走	b-endloc_poi i-endloc_poi i-endloc_poi i-endloc_poi o o o
cinemas@query	找下最近最热播的电影。	o o o o o o o o o o o
map@position	人民公园在哪里	b-location_poi i-location_poi i-location_poi i-location_poi o o o
video@query	死亡笔记	b-name i-name i-name i-name
music@search	找一首歌叫斑马斑马	o o o o o b-song i-song i-song i-song
message@send	给石荣福发短信	o b-name i-name i-name o o o
epg@query	湖南卫视现在演什么节目	b-tvchannel i-tvchannel i-tvchannel i-tvchannel b-datetime_time i-datetime_time o o o o o
epg@query	浙江高清台的节目单	b-tvchannel i-tvchannel i-tvchannel i-tvchannel i-tvchannel o o o o
radio@launch	请帮我调频105.8南京人民广播电台音乐台	o o o o o b-code i-code i-code i-code i-code b-name i-name i-name i-name i-name i-name i-name i-name i-name i-name i-name
translation@translation	电焊机用英语怎么说	b-content i-content i-content o b-target i-target o o o
flight@query	从重庆到武汉的航班	o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
poetry@query	落花不是无情物的下一句是什么？	b-keyword i-keyword i-keyword i-keyword i-keyword i-keyword i-keyword o b-queryfield i-queryfield i-queryfield o o o o
riddle@query	猜谜语，听了。	o b-category i-category o o o o
video@query	电影中国合伙人	b-category i-category b-name i-name i-name i-name i-name
train@query	开封到信阳的火车	b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
video@query	好无聊哇有什么好看的电影	o o o o o o o b-scoredescr i-scoredescr o b-category i-category
cookbook@query	做南瓜饭	o b-dishname i-dishname i-dishname
stock@query	查询一下南方航空的股票	o o o o b-name i-name i-name i-name o o o
cookbook@query	草虾尾怎样做。	o b-ingredient i-ingredient o o o o
cookbook@query	西兰花怎么做？	b-ingredient i-ingredient i-ingredient o o o o
news@play	钓鱼岛新闻	b-keyword i-keyword i-keyword o o
